Model,Year,Region,Color,Fuel Type,Turbo,Total_Base_Price_USD,Total_Sales_Volume,Total_Horsepower
AMG S 63,2022,Global,Green,Electric,No,268033,1,793
AMG E 63,2022,Global,Orange,Diesel,No,268038,1,605
AMG C 63,2024,Global,Orange,Electric,No,270515,1,505
G-Class,2022,Global,Orange,Hybrid,No,275206,1,502
AMG C 63,2020,Global,Orange,Hybrid,Yes,276166,1,502
AMG E 63,2023,Global,Brown,Diesel,No,276300,1,596
AMG GT,2024,Global,Blue,Diesel,No,280613,1,621
AMG GT,2020,Global,Red,Hybrid,No,281502,1,683
AMG E 63,2021,Global,Red,Hybrid,No,284179,1,591
G-Class,2020,Global,Orange,Hybrid,No,284319,1,433
AMG S 63,2022,Global,Blue,Electric,No,284474,1,809
AMG A 45,2020,Global,Brown,Hybrid,No,285824,1,406
AMG S 63,2024,Global,Orange,Hybrid,No,288241,1,797
AMG S 63,2024,Global,Yellow,Diesel,No,288814,1,809
AMG S 63,2020,Global,Orange,Hybrid,Yes,291353,1,795
